ID,Age,Height,Weight,Position,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,ShortPassing,LongPassing,BallControl,Vision,Reactions,Composure,Crossing,Dribbling,Stamina,Agility,Acceleration,CAMRating,CMRating,RMRating,LMRating,CDMRating,Prospect,Position_n
TRAIN_0769,18,188,69,CAM,6.3768,4.7368,5.5882,6.6667,4.6053,6.0656,6.988,6.6667,7.5281,6.0714,2.3438,6.1446,5.9091,7.9348,4.8148,7.5,7.1084,6.5333,6.3014,6.4865,6.4865,6.0,1,0
TRAIN_0770,18,191,73,CDM,4.058,2.6316,3.8235,4.2424,5.5263,4.5902,6.0241,5.7143,6.1798,4.4048,3.5938,3.7349,4.2045,5.8696,5.0617,4.6053,5.3012,4.8,5.0685,4.8649,4.8649,5.7143,1,1
TRAIN_0771,21,175,64,CAM,5.2174,4.4737,3.9706,4.2424,1.3158,1.4754,6.0241,5.0,5.7303,5.0,0.7812,4.6988,3.8636,5.8696,3.4568,5.6579,6.3855,5.2,4.5205,5.0,5.0,3.2857,0,0
TRAIN_0775,21,174,62,CAM,5.2174,4.7368,5.1471,5.4545,5.6579,4.918,6.6265,6.3095,6.7416,6.0714,4.8438,5.9036,5.5682,6.5217,7.1605,5.6579,6.0241,6.2667,6.3014,6.2162,6.2162,6.4286,0,0
TRAIN_0776,19,183,80,LM,6.2319,4.6053,5.7353,5.7576,5.7895,5.9016,6.8675,5.4762,6.7416,5.9524,5.0,3.9759,7.5,6.9565,6.6667,7.6316,7.5904,6.4,6.3014,6.6216,6.6216,6.4286,0,3
TRAIN_0779,20,165,61,RM,7.5362,6.0526,4.7059,6.3636,1.9737,2.1311,5.5422,5.0,7.191,5.4762,2.3438,5.4217,6.9318,7.6087,5.8025,7.8947,7.7108,6.2667,5.3425,6.4865,6.4865,3.8571,1,4
TRAIN_0780,17,185,74,CM,5.7971,3.6842,4.5588,4.8485,5.3947,4.7541,6.1446,5.4762,6.0674,5.3571,3.9062,4.8193,5.2273,6.413,5.679,5.9211,6.2651,5.4667,5.4795,5.5405,5.5405,5.7143,1,2
TRAIN_0784,21,172,65,CAM,5.7971,3.8158,3.6765,4.3939,4.6053,3.9344,5.6627,5.4762,5.7303,5.0,2.9688,4.9398,3.6364,5.6522,5.0617,6.4474,6.2651,5.2,5.0685,5.1351,5.1351,5.1429,0,0
TRAIN_0787,19,186,75,CM,4.7826,4.3421,3.9706,4.0909,4.8684,5.2459,5.5422,5.9524,6.0674,5.119,3.9062,3.9759,4.2045,5.4348,6.2963,5.3947,5.6627,5.3333,5.4795,5.2703,5.2703,5.5714,1,2
TRAIN_0789,20,188,70,CDM,3.1884,2.6316,3.0882,2.7273,3.8158,4.2623,5.4217,4.7619,4.8315,4.881,2.5,3.494,2.9545,4.4565,4.1975,3.6842,5.3012,4.1333,4.3836,3.9189,3.9189,4.5714,0,1
TRAIN_0790,20,172,71,RM,7.8261,5.7895,4.7059,6.0606,2.1053,3.1148,5.7831,5.119,6.7416,5.4762,3.125,5.1807,6.3636,7.0652,7.5309,8.9474,8.0723,6.2667,5.4795,6.4865,6.4865,4.0,1,4
TRAIN_0791,18,167,67,LM,7.1014,3.4211,3.2353,4.0909,1.3158,1.8033,4.5783,3.8095,4.9438,5.2381,3.125,2.8916,4.7727,5.6522,3.5802,7.1053,7.4699,4.9333,3.9726,5.0,5.0,2.7143,1,3
TRAIN_0795,19,173,65,RM,8.8406,4.8684,4.5588,6.5152,3.2895,2.2951,5.5422,5.3571,7.0787,5.4762,3.125,6.1446,6.1364,7.2826,7.037,9.6053,9.1566,6.2667,5.6164,6.6216,6.6216,4.5714,1,4
TRAIN_0796,21,175,70,CAM,5.0725,5.1316,5.1471,5.0,4.6053,4.7541,6.3855,6.1905,6.7416,5.7143,3.9062,5.0602,5.5682,6.1957,6.2963,5.6579,5.9036,6.0,6.0274,5.9459,5.9459,5.7143,0,0
TRAIN_0799,20,180,75,CAM,6.2319,6.3158,5.8824,5.9091,4.8684,6.0656,7.2289,6.7857,7.3034,6.7857,5.3125,6.506,5.2273,6.9565,6.9136,6.1842,6.988,6.9333,6.8493,6.7568,6.7568,6.4286,0,0
TRAIN_0806,21,173,67,LM,6.6667,5.6579,5.0,5.7576,2.2368,4.2623,6.3855,6.1905,6.7416,5.7143,2.6562,5.5422,6.1364,6.9565,5.0617,6.5789,8.0723,6.2667,5.6164,6.3514,6.3514,4.2857,0,3
TRAIN_0810,18,173,69,CAM,6.5217,5.1316,4.1176,5.303,2.5,3.7705,5.6627,4.6429,6.4045,5.4762,3.9062,4.8193,5.0,6.413,5.679,7.8947,7.3494,6.0,5.2055,5.9459,5.9459,4.1429,1,0
TRAIN_0811,21,182,72,CAM,7.2464,7.2368,7.5,8.0303,2.2368,5.082,8.5542,6.9048,8.5393,8.3333,7.3438,7.8313,7.7273,8.8043,7.5309,7.5,7.9518,8.5333,7.8082,8.5135,8.5135,5.7143,0,0
TRAIN_0812,21,178,75,RM,8.5507,7.2368,6.3235,7.8788,3.9474,6.2295,7.3494,4.881,8.3146,7.619,7.3438,7.4699,7.6136,8.587,7.9012,8.4211,8.9157,8.1333,7.2603,8.2432,8.2432,6.0,0,4
TRAIN_0813,19,187,70,CAM,4.4928,5.0,5.5882,5.1515,5.0,4.4262,7.2289,6.9048,7.191,6.3095,4.0625,4.3373,5.7955,6.3043,5.0617,5.5263,5.3012,6.2667,6.3014,6.0811,6.0811,6.0,1,0
TRAIN_0814,19,180,73,CAM,6.2319,4.2105,4.5588,5.4545,2.1053,3.2787,6.506,6.1905,6.6292,6.3095,4.375,4.9398,3.5227,6.413,5.0617,6.9737,6.988,6.1333,5.6164,5.8108,5.8108,4.2857,0,0
TRAIN_0815,19,181,81,CAM,6.2319,5.0,5.0,4.697,5.3947,5.7377,6.506,5.5952,6.5169,6.0714,5.1562,6.1446,5.3409,5.6522,6.2963,5.0,6.8675,6.0,6.0274,5.9459,5.9459,6.1429,1,0
TRAIN_0816,18,186,66,CAM,5.6522,3.8158,3.9706,4.3939,3.0263,2.623,5.7831,5.3571,5.9551,5.3571,2.5,4.4578,4.3182,5.9783,4.5679,6.0526,6.2651,5.3333,5.0685,5.2703,5.2703,4.2857,1,0
TRAIN_0818,19,181,70,LM,6.3768,5.5263,4.5588,5.1515,1.3158,3.2787,5.6627,4.6429,6.4045,5.0,3.9062,5.1807,6.3636,6.413,5.8025,6.4474,7.2289,5.7333,5.0685,5.9459,5.9459,3.5714,0,3
TRAIN_0819,19,180,62,CAM,6.2319,5.1316,5.4412,5.7576,3.1579,3.4426,6.3855,5.7143,6.6292,6.1905,3.9062,4.2169,6.5909,7.0652,4.321,6.9737,6.988,6.2667,5.6164,6.2162,6.2162,4.5714,0,0
TRAIN_0820,20,179,76,RM,6.8116,5.3947,5.5882,6.8182,5.9211,4.918,6.988,5.5952,7.4157,6.1905,5.625,5.5422,6.5909,7.7174,6.6667,8.0263,7.8313,6.9333,6.7123,7.027,7.027,6.5714,0,4
TRAIN_0821,20,168,68,CAM,5.5072,3.5526,4.1176,5.6061,3.1579,3.7705,6.6265,5.119,6.6292,5.119,3.2812,5.7831,3.6364,6.5217,4.321,7.3684,6.3855,5.6,5.2055,5.4054,5.4054,4.5714,1,0
TRAIN_0824,21,173,75,CAM,6.2319,5.7895,4.8529,6.0606,2.3684,4.2623,6.2651,5.3571,7.3034,5.8333,4.5312,6.0241,5.9091,7.0652,6.5432,6.5789,6.988,6.5333,5.8904,6.4865,6.4865,4.5714,0,0
TRAIN_0829,20,177,71,CDM,4.6377,3.2895,5.2941,5.1515,6.3158,4.918,7.3494,5.9524,6.6292,5.7143,5.3125,5.5422,5.4545,6.413,6.6667,5.0,6.0241,5.7333,6.1644,5.8108,5.8108,6.7143,0,1
TRAIN_0839,18,160,60,LM,6.6667,3.0263,3.3824,3.9394,3.9474,3.2787,5.5422,4.1667,5.3933,4.1667,2.9688,4.5783,4.6591,5.5435,4.9383,5.2632,6.988,4.8,4.5205,5.0,5.0,4.4286,1,3
TRAIN_0843,20,178,72,CAM,5.5072,4.0789,3.8235,4.3939,3.6842,2.9508,5.6627,5.119,5.7303,5.0,2.8125,3.9759,4.3182,5.5435,5.1852,7.2368,6.506,5.3333,5.0685,5.1351,5.1351,4.5714,0,0
TRAIN_0845,20,180,74,CAM,5.2174,6.1842,5.4412,6.0606,5.1316,5.4098,6.988,6.6667,7.0787,6.7857,4.5312,5.6627,5.2273,7.1739,6.1728,7.1053,6.3855,6.9333,6.7123,6.6216,6.6216,6.4286,0,0
TRAIN_0846,20,174,66,CAM,6.6667,5.1316,5.2941,6.2121,5.0,3.4426,6.6265,6.5476,6.9663,6.3095,4.8438,5.0602,5.5682,7.0652,7.1605,8.5526,7.4699,6.6667,6.4384,6.6216,6.6216,6.1429,0,0
TRAIN_0848,18,178,66,RM,7.3913,5.0,4.1176,5.4545,5.3947,4.5902,5.4217,4.7619,6.1798,4.5238,3.9062,5.1807,6.1364,7.0652,4.9383,5.2632,8.3133,5.4667,5.2055,5.9459,5.9459,5.5714,1,4
TRAIN_0849,20,171,68,RM,5.942,3.4211,4.1176,4.5455,1.9737,1.4754,5.5422,5.0,5.5056,5.3571,2.9688,4.5783,5.1136,5.9783,3.7037,5.7895,6.3855,5.2,4.6575,5.2703,5.2703,3.4286,0,4
TRAIN_0850,19,171,65,RM,5.5072,5.0,3.6765,5.0,2.1053,0.6557,4.9398,4.2857,6.1798,4.1667,1.4062,3.8554,5.6818,6.7391,3.9506,5.0,5.9036,5.0667,4.3836,5.2703,5.2703,3.1429,1,4
TRAIN_0854,19,169,66,CAM,6.5217,5.3947,5.1471,6.9697,1.8421,3.1148,6.506,5.9524,7.5281,6.3095,3.4375,5.3012,5.5682,7.7174,4.8148,9.4737,7.8313,6.6667,5.8904,6.4865,6.4865,4.1429,1,0
TRAIN_0855,20,180,73,CAM,6.5217,4.2105,4.5588,5.6061,3.0263,4.0984,6.1446,5.4762,6.5169,5.9524,4.0625,3.8554,4.5455,6.7391,5.0617,7.7632,6.8675,6.0,5.6164,5.9459,5.9459,4.7143,1,0
TRAIN_0857,17,178,70,CAM,5.5072,2.3684,3.5294,4.2424,2.2368,2.9508,5.4217,4.7619,5.618,5.4762,0.3125,2.2892,3.9773,5.9783,3.2099,6.7105,6.3855,4.8,4.2466,4.5946,4.5946,3.7143,1,0
TRAIN_0858,20,181,75,LM,5.942,5.5263,6.3235,6.8182,3.0263,4.7541,7.8313,6.7857,7.9775,7.2619,6.0938,4.8193,6.4773,8.1522,6.1728,5.2632,6.8675,7.3333,6.9863,7.4324,7.4324,5.2857,0,3
TRAIN_0863,21,173,65,CAM,5.942,5.5263,6.1765,6.2121,5.5263,3.7705,7.2289,6.5476,7.191,6.7857,5.4688,6.6265,6.4773,6.7391,6.4198,8.1579,7.2289,6.8,6.7123,6.7568,6.7568,6.4286,0,0
TRAIN_0866,19,187,78,CAM,5.6522,4.0789,4.4118,5.1515,4.4737,5.2459,6.2651,5.8333,6.5169,5.2381,3.5938,5.0602,4.6591,6.413,4.1975,6.8421,5.9036,5.7333,5.4795,5.5405,5.5405,5.2857,1,0
TRAIN_0868,18,177,67,CAM,5.2174,5.3947,5.2941,5.9091,5.6579,4.2623,6.747,6.4286,6.9663,6.5476,5.0,5.3012,5.1136,6.8478,5.4321,7.8947,6.1446,6.4,6.4384,6.2162,6.2162,6.2857,1,0
TRAIN_0883,20,170,78,RM,6.6667,4.6053,5.2941,6.0606,3.0263,1.1475,6.8675,6.3095,6.4045,5.9524,3.4375,5.3012,5.9091,7.5,3.3333,7.6316,8.1928,6.2667,5.6164,6.3514,6.3514,4.4286,0,4
TRAIN_0885,20,180,71,CDM,5.7971,3.0263,3.9706,4.3939,5.7895,4.7541,6.506,6.1905,6.2921,4.1667,3.4375,3.7349,3.75,5.5435,5.679,5.3947,6.3855,5.2,5.3425,5.2703,5.2703,6.0,0,1
TRAIN_0886,19,168,65,CAM,5.2174,3.9474,3.8235,4.697,2.1053,1.6393,5.1807,5.2381,5.9551,4.881,0.7812,5.7831,4.7727,5.5435,4.1975,8.6842,6.1446,4.9333,4.3836,4.8649,4.8649,3.4286,1,0
TRAIN_0888,18,175,69,CAM,7.1014,5.9211,4.8529,6.2121,4.8684,3.4426,6.3855,5.9524,7.0787,5.7143,6.875,5.9036,5.2273,7.0652,6.9136,7.3684,7.5904,6.8,6.4384,6.7568,6.7568,5.8571,1,0
TRAIN_0890,19,179,63,CAM,6.6667,6.3158,5.8824,6.8182,5.6579,6.2295,7.2289,6.6667,7.5281,6.7857,5.1562,7.2289,5.9091,7.6087,6.6667,7.8947,7.8313,7.2,6.9863,7.027,7.027,6.7143,1,0
TRAIN_0892,20,178,76,CAM,6.2319,5.0,4.8529,5.1515,4.3421,3.6066,6.3855,5.8333,6.2921,6.0714,4.0625,5.5422,5.0,6.1957,4.8148,6.5789,6.747,6.0,5.8904,5.9459,5.9459,5.2857,1,0
TRAIN_0896,21,177,73,RM,6.8116,5.6579,5.2941,6.3636,2.8947,6.2295,6.6265,6.1905,7.0787,6.0714,4.375,5.5422,5.9091,7.5,8.0247,8.0263,7.5904,6.6667,6.1644,6.7568,6.7568,5.1429,0,4
TRAIN_0900,20,176,69,CM,5.2174,3.6842,4.2647,4.2424,4.3421,4.0984,6.2651,5.3571,5.9551,5.2381,3.9062,3.9759,4.5455,5.5435,6.5432,5.5263,5.3012,5.3333,5.4795,5.2703,5.2703,5.2857,0,2
TRAIN_0906,21,172,71,CM,6.5217,3.9474,5.4412,5.7576,5.6579,4.918,7.2289,6.3095,7.3034,6.4286,5.9375,6.506,5.2273,6.413,7.284,6.5789,7.2289,6.4,6.5753,6.4865,6.4865,6.5714,0,2
TRAIN_0907,20,183,77,CAM,3.6232,3.2895,3.5294,3.9394,4.6053,2.459,5.1807,4.6429,5.5056,4.7619,2.8125,4.4578,4.2045,5.3261,4.6914,5.0,5.5422,4.6667,4.6575,4.5946,4.5946,4.7143,1,0
TRAIN_0908,20,179,73,CDM,4.9275,3.4211,4.4118,3.7879,5.7895,4.918,6.1446,5.4762,5.618,6.0714,4.6875,4.0964,4.4318,5.0,5.8025,5.2632,5.6627,5.0667,5.4795,5.0,5.0,6.0,1,1
TRAIN_0913,18,180,74,LM,6.8116,4.6053,3.8235,4.697,4.3421,3.4426,5.4217,4.6429,5.9551,4.5238,3.5938,4.4578,5.5682,5.8696,7.1605,7.5,7.2289,5.4667,5.2055,5.6757,5.6757,4.8571,1,3
TRAIN_0915,20,172,66,CDM,6.6667,3.8158,4.7059,6.0606,6.0526,5.2459,6.8675,5.8333,6.9663,6.0714,5.9375,4.6988,4.3182,6.8478,7.4074,7.8947,7.4699,6.2667,6.4384,6.2162,6.2162,6.7143,1,1
TRAIN_0916,19,170,66,CAM,7.971,5.6579,4.2647,6.6667,4.3421,2.459,6.2651,4.4048,6.6292,5.2381,3.75,6.747,4.5455,7.7174,5.679,9.4737,8.9157,6.4,5.7534,6.2162,6.2162,5.0,1,0
TRAIN_0920,21,163,60,RM,7.8261,4.3421,3.9706,5.0,3.6842,4.7541,5.1807,4.6429,5.8427,4.7619,3.4375,4.2169,5.6818,6.1957,6.6667,7.7632,8.3133,5.4667,5.0685,5.8108,5.8108,4.7143,0,4
TRAIN_0922,17,175,65,LM,7.5362,4.4737,4.5588,5.303,2.7632,2.9508,5.4217,5.7143,6.1798,4.881,1.7188,4.3373,6.3636,6.6304,5.0617,7.8947,8.1928,5.6,4.9315,5.8108,5.8108,4.1429,1,3
TRAIN_0925,20,164,63,RM,7.8261,5.7895,5.5882,6.9697,3.5526,3.2787,6.6265,5.8333,7.3034,6.5476,5.1562,5.9036,6.9318,7.7174,6.6667,9.7368,8.5542,7.0667,6.4384,7.1622,7.1622,5.2857,0,4
TRAIN_0926,20,183,71,CAM,5.5072,5.0,5.7353,5.7576,5.5263,4.5902,6.988,6.6667,7.191,6.9048,5.0,7.1084,6.1364,6.7391,5.9259,5.5263,6.506,6.6667,6.7123,6.6216,6.6216,6.4286,1,0
TRAIN_0929,20,173,60,LM,6.087,5.6579,6.6176,6.0606,1.8421,1.4754,8.3133,6.9048,7.191,5.8333,3.5938,4.8193,6.8182,7.5,5.3086,5.0,7.1084,6.6667,6.1644,6.8919,6.8919,4.2857,1,3
TRAIN_0933,19,178,75,RM,7.5362,4.6053,2.6471,4.697,1.0526,2.7869,3.7349,3.9286,6.0674,4.0476,1.4062,4.4578,4.8864,6.3043,3.9506,5.7895,7.8313,4.9333,3.8356,5.1351,5.1351,2.5714,1,4
TRAIN_0934,20,178,70,RM,5.5072,3.0263,2.9412,3.6364,4.2105,3.2787,4.5783,4.2857,5.0562,4.5238,2.6562,4.0964,4.3182,5.2174,4.1975,5.2632,6.3855,4.5333,4.2466,4.5946,4.5946,4.2857,0,4
TRAIN_0935,18,180,70,CAM,5.3623,2.8947,3.6765,4.0909,4.3421,3.4426,5.6627,5.119,5.8427,5.0,1.4062,3.8554,4.0909,5.3261,4.6914,6.4474,6.1446,4.8,4.7945,4.7297,4.7297,4.8571,1,0
TRAIN_0940,19,178,65,CAM,4.9275,3.8158,4.5588,4.8485,3.8158,2.459,6.2651,5.8333,6.1798,5.4762,3.4375,4.9398,4.6591,6.1957,5.4321,5.7895,6.0241,5.6,5.4795,5.5405,5.5405,4.8571,0,0
TRAIN_0943,21,171,60,LM,7.971,5.0,3.9706,5.303,2.1053,3.7705,5.4217,4.6429,6.0674,5.0,3.9062,4.3373,5.2273,6.6304,6.4198,7.2368,8.1928,5.8667,5.0685,5.9459,5.9459,3.8571,0,3
TRAIN_0946,19,187,80,RM,6.8116,6.4474,5.1471,5.7576,3.2895,5.7377,6.506,4.7619,6.7416,6.4286,4.5312,5.6627,6.3636,7.2826,6.5432,5.2632,6.6265,6.5333,6.0274,6.6216,6.6216,5.0,1,4
TRAIN_0947,20,181,76,LM,8.1159,4.3421,3.6765,4.5455,4.3421,6.5574,5.1807,4.881,5.8427,4.7619,1.4062,4.5783,4.8864,5.6522,7.5309,8.8158,8.6747,5.3333,4.9315,5.5405,5.5405,5.0,0,3
TRAIN_0949,19,182,70,RM,6.087,4.7368,5.7353,5.9091,4.8684,4.7541,6.8675,6.3095,6.7416,6.4286,5.9375,6.8675,6.3636,6.9565,6.1728,7.6316,6.988,6.5333,6.4384,6.6216,6.6216,6.1429,1,4
TRAIN_0951,21,188,80,CM,5.5072,5.6579,5.4412,6.2121,5.6579,7.377,7.2289,6.9048,7.3034,6.7857,5.9375,6.2651,4.4318,7.1739,8.642,6.3158,6.506,6.9333,7.1233,6.7568,6.7568,6.8571,0,2
TRAIN_0954,21,176,65,RM,7.8261,5.7895,4.2647,5.7576,1.4474,3.1148,5.7831,5.119,6.6292,5.119,4.6875,4.9398,5.4545,6.9565,6.5432,7.6316,8.3133,6.2667,5.3425,6.3514,6.3514,3.7143,0,4
TRAIN_0955,20,181,72,CAM,5.3623,4.6053,5.1471,5.0,4.7368,3.9344,6.506,6.4286,6.4045,5.9524,4.2188,5.9036,5.5682,5.9783,5.3086,6.4474,5.7831,5.8667,5.8904,5.8108,5.8108,5.5714,0,0
TRAIN_0956,21,177,67,RM,7.971,5.1316,3.9706,5.4545,1.5789,3.6066,5.3012,4.6429,6.4045,5.2381,3.2812,4.9398,5.0,6.5217,5.3086,8.1579,8.5542,5.8667,4.9315,5.9459,5.9459,3.5714,1,4
TRAIN_0958,20,172,64,CAM,6.2319,5.0,5.0,5.6061,5.3947,4.918,6.506,6.1905,6.6292,5.7143,3.9062,5.6627,4.7727,6.6304,6.6667,7.2368,6.988,6.2667,6.1644,6.0811,6.0811,6.1429,1,0
TRAIN_0959,21,183,74,CAM,8.4058,6.0526,5.1471,6.5152,1.1842,4.5902,6.2651,5.7143,7.191,6.0714,5.7812,6.1446,5.9091,7.3913,6.2963,8.1579,8.7952,6.9333,6.0274,6.8919,6.8919,4.0,0,0
TRAIN_0963,21,170,65,RM,8.1159,5.5263,5.2941,6.0606,1.9737,3.6066,6.3855,5.7143,6.9663,5.9524,4.5312,5.3012,6.4773,6.8478,7.5309,8.5526,8.5542,6.6667,5.8904,6.7568,6.7568,4.4286,0,4
TRAIN_0966,20,180,69,CAM,5.7971,4.8684,4.5588,4.8485,4.7368,4.2623,5.9036,5.8333,5.5056,5.3571,4.2188,5.0602,5.6818,6.413,5.0617,6.1842,6.506,5.7333,5.6164,5.6757,5.6757,5.4286,0,0
TRAIN_0968,19,183,75,RM,6.9565,3.5526,5.0,5.6061,5.7895,4.7541,6.2651,5.9524,6.5169,6.3095,5.3125,5.4217,5.7955,6.6304,6.9136,6.8421,7.3494,6.1333,6.1644,6.3514,6.3514,6.2857,0,4
TRAIN_0969,21,177,69,CDM,3.4783,3.1579,3.9706,3.9394,6.0526,5.4098,5.9036,6.3095,6.0674,4.6429,4.375,5.1807,3.8636,5.1087,6.1728,4.2105,4.3373,4.9333,5.4795,4.8649,4.8649,6.1429,0,1
TRAIN_0971,21,178,70,RM,6.6667,3.9474,3.9706,3.9394,4.2105,5.2459,5.4217,5.3571,5.3933,5.119,3.125,3.3735,5.0,5.2174,6.0494,6.7105,7.2289,5.2,5.0685,5.2703,5.2703,5.0,0,4
TRAIN_0973,18,178,71,CAM,5.3623,5.1316,4.8529,4.5455,5.2632,4.4262,6.0241,6.0714,5.9551,5.7143,4.5312,5.0602,5.5682,5.6522,5.679,6.1842,6.0241,5.7333,5.7534,5.6757,5.6757,5.7143,1,0
TRAIN_0975,21,176,70,RM,6.2319,5.1316,4.5588,5.1515,3.6842,3.4426,5.7831,5.0,6.4045,5.0,3.4375,4.0964,6.25,6.3043,4.9383,7.3684,6.988,5.7333,5.2055,5.8108,5.8108,4.5714,0,4
TRAIN_0976,18,170,68,RM,7.3913,5.0,4.1176,4.697,2.7632,2.9508,5.5422,4.4048,5.3933,4.6429,4.2188,5.1807,5.4545,5.9783,5.5556,7.5,8.1928,5.4667,4.7945,5.6757,5.6757,4.0,1,4
TRAIN_0979,20,175,60,RM,6.6667,3.4211,3.8235,3.9394,3.6842,3.4426,5.4217,5.2381,5.3933,5.119,2.3438,3.7349,4.6591,5.1087,5.9259,6.8421,7.3494,5.0667,4.7945,5.1351,5.1351,4.5714,1,4
TRAIN_0982,20,183,76,CM,4.7826,4.7368,5.2941,5.0,5.1316,3.7705,6.8675,6.5476,6.0674,6.0714,5.1562,4.9398,5.2273,6.413,5.8025,5.7895,5.7831,6.0,6.1644,5.9459,5.9459,5.8571,1,2
TRAIN_0986,20,178,69,CAM,6.3768,4.0789,3.8235,4.697,3.4211,4.7541,5.7831,5.119,6.4045,4.7619,3.125,3.8554,4.3182,5.9783,5.3086,6.5789,6.8675,5.3333,5.0685,5.2703,5.2703,4.7143,0,0
TRAIN_0988,20,181,71,RM,5.942,3.6842,3.5294,3.7879,3.5526,5.2459,5.7831,5.4762,5.3933,4.0476,3.9062,3.494,3.6364,5.3261,6.9136,4.8684,6.8675,4.9333,4.9315,5.1351,5.1351,4.8571,0,4
TRAIN_0989,21,190,75,LM,5.942,6.0526,4.4118,6.0606,1.9737,3.9344,6.0241,4.881,7.3034,4.7619,2.3438,5.0602,5.7955,7.5,6.0494,6.5789,6.506,6.0,5.3425,6.0811,6.0811,3.8571,1,3
TRAIN_0990,18,179,68,LM,7.3913,3.6842,3.5294,4.0909,3.2895,2.623,5.3012,3.6905,5.1685,4.1667,2.9688,3.8554,5.6818,5.6522,4.5679,6.9737,7.4699,4.9333,4.2466,5.1351,5.1351,4.0,1,3
TRAIN_0991,20,175,70,RM,6.3768,5.5263,3.8235,5.6061,1.7105,2.459,4.9398,4.6429,6.0674,5.0,2.5,4.3373,5.2273,7.5,5.0617,6.7105,7.1084,5.7333,4.7945,5.8108,5.8108,3.2857,0,4
TRAIN_0996,20,164,64,RM,6.8116,5.3947,4.5588,5.0,1.1842,2.459,5.4217,5.4762,6.1798,5.3571,3.9062,4.2169,5.9091,6.8478,7.1605,4.8684,7.3494,5.8667,5.2055,6.0811,6.0811,3.4286,0,4
TRAIN_0999,20,192,82,CAM,5.942,4.7368,4.4118,5.0,5.3947,5.9016,5.7831,5.9524,6.4045,5.7143,3.125,4.4578,4.4318,6.087,6.1728,6.8421,6.988,5.7333,5.7534,5.6757,5.6757,5.8571,1,0
TRAIN_1000,19,174,60,CAM,5.0725,5.0,5.8824,5.9091,3.8158,1.3115,7.4699,7.5,7.191,6.4286,4.6875,5.7831,5.5682,6.7391,3.2099,6.5789,6.2651,6.5333,6.3014,6.2162,6.2162,5.2857,1,0
TRAIN_1001,18,175,69,LM,8.1159,4.0789,6.1765,6.9697,6.4474,3.9344,7.8313,5.8333,7.6404,7.0238,5.9375,6.1446,7.2727,7.7174,6.5432,8.2895,8.3133,7.2,6.9863,7.2973,7.2973,6.8571,0,3
TRAIN_1006,19,165,65,CAM,6.3768,3.6842,4.4118,5.6061,3.5526,2.2951,6.2651,5.0,6.9663,5.7143,4.0625,4.4578,4.5455,6.5217,6.1728,7.3684,6.8675,5.8667,5.6164,5.8108,5.8108,4.8571,1,0
TRAIN_1007,18,177,60,RM,6.5217,4.2105,3.2353,4.5455,1.3158,1.9672,5.0602,4.4048,5.8427,4.0476,2.6562,4.3373,4.3182,5.7609,4.6914,6.8421,7.2289,4.9333,4.2466,5.0,5.0,3.0,1,4
TRAIN_1009,21,189,83,CAM,6.087,6.7105,6.0294,6.8182,6.0526,6.3934,7.2289,6.6667,7.7528,6.5476,6.25,7.7108,6.4773,7.6087,5.679,6.8421,6.6265,7.3333,7.1233,7.1622,7.1622,7.0,0,0
TRAIN_1010,21,170,64,RM,6.8116,5.5263,5.0,6.6667,1.8421,3.1148,5.7831,4.6429,7.4157,6.5476,5.3125,4.2169,6.5909,7.6087,5.4321,7.7632,7.5904,6.5333,5.7534,6.6216,6.6216,4.1429,0,4
TRAIN_1011,20,179,74,CAM,5.942,5.9211,6.4706,6.3636,4.6053,5.082,7.7108,7.5,7.5281,7.5,3.4375,6.8675,5.4545,7.2826,7.4074,6.8421,6.747,7.0667,7.1233,6.8919,6.8919,6.2857,1,0
TRAIN_1012,18,180,73,CM,6.087,4.2105,5.8824,5.4545,4.7368,4.5902,7.1084,6.9048,6.6292,6.5476,4.5312,6.0241,5.3409,6.413,6.1728,6.5789,6.8675,6.2667,6.4384,6.2162,6.2162,6.0,0,2
TRAIN_1013,20,182,75,RM,6.087,4.7368,3.9706,4.697,3.9474,4.2623,5.7831,4.881,6.0674,4.7619,3.75,5.3012,4.8864,5.9783,5.0617,6.0526,6.8675,5.4667,5.0685,5.5405,5.5405,4.8571,0,4
TRAIN_1017,18,175,65,CAM,5.942,4.2105,4.8529,5.1515,3.2895,2.7869,6.3855,6.1905,6.4045,5.8333,4.2188,5.4217,4.7727,6.3043,4.8148,6.0526,6.6265,5.7333,5.4795,5.6757,5.6757,4.5714,1,0
TRAIN_1019,20,168,71,RM,7.2464,4.4737,4.4118,5.0,4.8684,3.6066,5.6627,5.3571,5.618,5.3571,4.0625,4.6988,5.4545,5.7609,6.5432,9.6053,7.9518,5.7333,5.4795,5.8108,5.8108,5.2857,0,4
TRAIN_1023,20,187,64,CM,4.4928,6.0526,5.4412,5.4545,6.3158,2.623,7.1084,6.9048,6.8539,6.5476,4.8438,4.9398,4.7727,6.5217,5.4321,6.5789,6.0241,6.6667,6.8493,6.2162,6.2162,6.5714,0,2
TRAIN_1026,20,175,66,CM,5.5072,4.4737,5.8824,5.7576,5.2632,3.6066,7.2289,7.0238,6.7416,6.6667,5.0,5.3012,5.6818,6.7391,5.8025,6.9737,6.506,6.4,6.5753,6.2162,6.2162,6.1429,1,2
